TimeGenerated,DisplayName,AlertName,AlertSeverity,Description,ProviderName,VendorName,ProductName,SystemAlertId,AlertType,Status,ConfidenceLevel,ConfidenceScore,IsIncident,StartTime,EndTime,Entities,Tactics,Techniques,ProcessingEndTime,Type
2026-04-28T13:38:09Z,Anomalous file download,Anomalous file download,Low,Detected Anomalous file download,Microsoft Defender,Microsoft,Microsoft Defender,alert-104,Anomalousfiledownload,New,High,0.95,0,2026-04-28T13:38:09Z,2026-04-28T13:43:09Z,"[{""Type"": ""host"", ""HostName"": ""WS-HR-03""}]",Discovery,T1083,2026-04-28T13:39:09Z,SecurityAlert
2026-04-28T13:52:42Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0213,LateralmovementviaSMB,Resolved,High,0.64,0,2026-04-28T13:52:42Z,2026-04-28T14:00:42Z,"[{""Type"": ""host"", ""HostName"": ""WS-MKT-01""}]",LateralMovement,T1021.002,2026-04-28T14:00:47Z,SecurityAlert
2026-04-28T13:57:44Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0214,LateralmovementviaSMB,New,High,0.90,0,2026-04-28T13:57:44Z,2026-04-28T14:05:44Z,"[{""Type"": ""host"", ""HostName"": ""WS-MKT-01""}]",LateralMovement,T1021.002,2026-04-28T14:05:49Z,SecurityAlert
2026-04-28T14:37:11Z,Anomalous sign-in from unfamiliar location,Anomalous sign-in from unfamiliar location,Medium,User signed in from a country not previously seen,Azure Sentinel,Microsoft,Microsoft Defender,alert-0215,Anomaloussign-infromunfamiliarlocation,New,High,0.93,0,2026-04-28T14:37:11Z,2026-04-28T15:03:11Z,"[{""Type"": ""host"", ""HostName"": ""WS-IT-02""}]",InitialAccess,T1078,2026-04-28T15:03:16Z,SecurityAlert
2026-04-28T14:39:11Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0216,LateralmovementviaSMB,New,High,0.98,0,2026-04-28T14:39:11Z,2026-04-28T15:09:11Z,"[{""Type"": ""host"", ""HostName"": ""LAP-DEV-05""}]",LateralMovement,T1021.002,2026-04-28T15:09:16Z,SecurityAlert
2026-04-28T14:43:17Z,Anomalous sign-in from unfamiliar location,Anomalous sign-in from unfamiliar location,Medium,User signed in from a country not previously seen,Azure Sentinel,Microsoft,Microsoft Defender,alert-0217,Anomaloussign-infromunfamiliarlocation,InProgress,High,0.67,0,2026-04-28T14:43:17Z,2026-04-28T15:09:17Z,"[{""Type"": ""host"", ""HostName"": ""WS-IT-02""}]",InitialAccess,T1078,2026-04-28T15:09:22Z,SecurityAlert
2026-04-28T14:46:14Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0218,LateralmovementviaSMB,New,High,0.64,0,2026-04-28T14:46:14Z,2026-04-28T14:57:14Z,"[{""Type"": ""host"", ""HostName"": ""WS-DEV-02""}]",LateralMovement,T1021.002,2026-04-28T14:57:19Z,SecurityAlert
2026-04-28T14:55:56Z,First-time process,First-time process,Informational,Detected First-time process,Microsoft Defender,Microsoft,Microsoft Defender,alert-101,First-timeprocess,New,High,0.95,0,2026-04-28T14:55:56Z,2026-04-28T15:00:56Z,"[{""Type"": ""host"", ""HostName"": ""SVR-WEB-01""}]",Discovery,T1083,2026-04-28T14:56:56Z,SecurityAlert
2026-04-28T14:57:51Z,Suspicious scheduled task,Suspicious scheduled task,Medium,Schtasks created with binary in ProgramData,Azure Sentinel,Microsoft,Microsoft Defender,alert-0219,Suspiciousscheduledtask,New,High,0.98,0,2026-04-28T14:57:51Z,2026-04-28T15:12:51Z,"[{""Type"": ""host"", ""HostName"": ""WS-FIN-03""}]",Persistence,T1053.005,2026-04-28T15:12:56Z,SecurityAlert
2026-04-28T14:58:59Z,Lateral movement via SMB,Lateral movement via SMB,High,Unusual SMB activity from a single host to many destinations,Azure Sentinel,Microsoft,Microsoft Defender,alert-0220,LateralmovementviaSMB,New,High,0.92,0,2026-04-28T14:58:59Z,2026-04-28T15:09:59Z,"[{""Type"": ""host"", ""HostName"": ""WS-IT-02""}]",LateralMovement,T1021.002,2026-04-28T15:10:04Z,SecurityAlert
2026-04-28T15:05:26Z,Suspicious PowerShell execution,Suspicious PowerShell execution,Medium,Detected suspicious PowerShell EncodedCommand,Azure Sentinel,Microsoft,Microsoft Defender,alert-0221,SuspiciousPowerShellexecution,New,High,0.88,0,2026-04-28T15:05:26Z,2026-04-28T15:20:26Z,"[{""Type"": ""host"", ""HostName"": ""WS-SUPPORT-01""}]",Execution,T1059.001,2026-04-28T15:20:31Z,SecurityAlert
2026-04-28T15:05:54Z,DNS tunneling indicator,DNS tunneling indicator,Medium,High volume of TXT-record queries to an uncommon domain,Azure Sentinel,Microsoft,Microsoft Defender,alert-0222,DNStunnelingindicator,New,High,0.95,0,2026-04-28T15:05:54Z,2026-04-28T15:13:54Z,"[{""Type"": ""host"", ""HostName"": ""WS-IT-01""}]",CommandAndControl,T1071.004,2026-04-28T15:13:59Z,SecurityAlert
2026-04-28T15:12:21Z,Credential dumping detected,Credential dumping detected,High,lsass.exe memory access from an untrusted process,Azure Sentinel,Microsoft,Microsoft Defender,alert-0223,Credentialdumpingdetected,New,High,0.71,0,2026-04-28T15:12:21Z,2026-04-28T15:15:21Z,"[{""Type"": ""host"", ""HostName"": ""LAP-DEV-06""}]",CredentialAccess,T1003.001,2026-04-28T15:15:26Z,SecurityAlert
2026-04-28T15:23:47Z,Suspicious PowerShell execution,Suspicious PowerShell execution,Medium,Detected suspicious PowerShell EncodedCommand,Azure Sentinel,Microsoft,Microsoft Defender,alert-0224,SuspiciousPowerShellexecution,InProgress,High,0.70,0,2026-04-28T15:23:47Z,2026-04-28T15:49:47Z,"[{""Type"": ""host"", ""HostName"": ""WS-DEV-02""}]",Execution,T1059.001,2026-04-28T15:49:52Z,SecurityAlert
2026-04-28T15:28:44Z,Possible password spray,Possible password spray,High,A single source IP attempted login to many distinct accounts,Azure Sentinel,Microsoft,Microsoft Defender,alert-0225,Possiblepasswordspray,InProgress,High,0.67,0,2026-04-28T15:28:44Z,2026-04-28T15:48:44Z,"[{""Type"": ""host"", ""HostName"": ""WS-MKT-01""}]",CredentialAccess,T1110.003,2026-04-28T15:48:49Z,SecurityAlert
